temperature_F,temperature_C,carry_yards
30,-1.1111111111111112,268.9250608731171
35,1.6666666666666667,269.781826964309
40,4.444444444444445,270.6366954066324
45,7.222222222222222,271.4500765885341
50,10.0,272.24204441935086
55,12.777777777777779,273.01285449714373
60,15.555555555555555,273.7627567873396
65,18.333333333333332,274.4919957909281
70,21.11111111111111,275.2008107221553
75,23.88888888888889,275.88943564852326
80,26.666666666666668,276.55809967049976
85,29.444444444444443,277.20702704039604
90,32.22222222222222,277.83643733447985
95,35.0,278.44654557178615
100,37.77777777777778,279.0375623533442
