ball_speed_mph,spin_rate_rpm,carry_yards,max_height_yards,flight_time_s,land_angle_deg
150,1000,162.58935385527911,10.642431700043739,3.333999999999744,19.17707667931989
150,1100,167.04064117927237,11.119674804856942,3.467999999999729,19.7085034002374
150,1200,171.6801033576452,11.633148431731462,3.6109999999997133,20.30514734355697
150,1300,176.42651822998553,12.186171794477769,3.760999999999697,20.94225225975417
150,1400,181.29898928345747,12.782353707866944,3.9189999999996794,21.632092571796225
150,1500,186.31367313262322,13.425597147469313,4.085999999999699,22.386976271408354
150,1600,191.42450546821584,14.120108030521509,4.260999999999758,23.19537382322392
150,1700,196.64664218303022,14.87039945118655,4.444999999999819,24.06993592851443
150,1800,201.96435171205474,15.681284360093581,4.6379999999998835,25.011380882753713
150,1900,207.3894891552253,16.55787444942525,4.840999999999951,26.03220746227767
150,2000,212.87835268865842,17.505561184676345,5.053000000000022,27.121121794836
150,2100,218.44206570509684,18.52999796715676,5.275000000000096,28.290079579615487
150,2200,223.88989359106623,19.637076911041817,5.500000000000171,29.75943433588012
150,2300,228.97718503269522,20.832899229823973,5.718000000000244,31.464910067342746
150,2400,233.62866520546063,22.12374341560718,5.925000000000313,33.214346181118806
150,2500,237.86972078655822,23.5160317940738,6.121000000000379,34.94664905717448
150,2600,241.74600737832375,25.008970428762627,6.307000000000441,36.637774525758594
150,2700,245.27764923400528,26.570760821115037,6.4830000000005,38.26445526141108
150,2800,248.4833564611707,28.170928836909972,6.649000000000555,39.811498574840506
150,2900,251.38053521561727,29.78759170610186,6.805000000000607,41.269275869692045
150,3000,254.02564362948314,31.404047845562733,6.953000000000657,42.65408478435903
150,3100,256.4115721171769,33.006929851656274,7.092000000000703,43.95094501249697
150,3200,258.57070570262505,34.58513478413766,7.223000000000747,45.1688658479918
150,3300,260.51419726204506,36.1291683499347,7.346000000000788,46.30711946813823
150,3400,262.252568034386,37.6307297067129,7.461000000000826,47.36604058459158
150,3500,263.8140108350502,39.08244720549947,7.569000000000862,48.356519432467174
150,3600,265.18896782534716,40.47769414103752,7.669000000000896,49.269889703040796
150,3700,266.4039451761538,41.81048033290876,7.762000000000927,50.11746037973373
150,3800,267.4663987739456,43.07537192793631,7.8480000000009555,50.90073297241245
150,3900,268.3661458704476,44.267446763325,7.926000000000982,51.61227760089737
150,4000,269.14435038589454,45.38226559168938,7.998000000001006,52.27201555963548
150,4100,269.78968320738613,46.41585407187801,8.06300000000097,52.87235730057295
150,4200,270.3077933490609,47.36470170028314,8.121000000000938,53.414863744995536
150,4300,270.7038692115166,48.22575870025644,8.17200000000091,53.90098568594513
150,4400,270.99886683337417,48.99643538289775,8.217000000000885,54.34043655784545
150,4500,271.18052435368577,49.67461337982148,8.255000000000864,54.725792016284984
150,4600,271.2686339094784,50.25863588350262,8.287000000000846,55.06630586499487
150,4700,271.25036636524425,50.74732041927842,8.312000000000833,55.354450907342056
150,4800,271.14439812587887,51.139946287078345,8.331000000000822,55.59901975962746
150,4900,270.9529298014506,51.43625600851543,8.344000000000815,55.80036531000073
150,5000,270.6777740786302,51.63644034189625,8.35100000000081,55.95870084979503
160,1000,177.6233688931701,11.970149390340838,3.5469999999997204,20.17065610682193
160,1100,182.4791240050473,12.525999015375449,3.693999999999704,20.790773369787868
160,1200,187.46792467000967,13.124693271646093,3.848999999999687,21.462977200960818
160,1300,192.57475522426301,13.770111750217211,4.0119999999996745,22.18739132730671
160,1400,197.81581824243096,14.466443779206951,4.183999999999732,22.97638146211002
160,1500,203.17422296359587,15.21818982776048,4.364999999999792,23.830400063161125
160,1600,208.6334855283371,16.03016850190234,4.554999999999856,24.75005700966507
160,1700,214.17757329789197,16.9075047342705,4.753999999999922,25.736020009848897
160,1800,219.8183875357516,17.855622131042402,4.962999999999992,26.800636102098316
160,1900,225.51172151264004,18.880224290670196,5.181000000000065,27.932451479835343
160,2000,231.26880254236676,19.98727214826535,5.409000000000141,29.14310969980981
160,2100,237.07309669371938,21.1829521841716,5.6470000000002205,30.433159989494207
160,2200,242.68982740116152,22.473650036063532,5.8860000000003,32.066583015941134
160,2300,247.88499221837728,23.865908533008536,6.116000000000377,33.89285293502875
160,2400,252.61371902623966,25.36639767962821,6.33400000000045,35.735340983195925
160,2500,256.94811310799014,26.981877215978923,6.542000000000519,37.55835382355516
160,2600,260.86777524250004,28.709018806682113,6.738000000000585,39.30487129518042
160,2700,264.45945410784174,30.512254980676726,6.925000000000647,40.9880059110588
160,2800,267.7204991015607,32.360364413915505,7.102000000000706,42.58295240718188
160,2900,270.68877545270493,34.23100807540083,7.2700000000007625,44.09247578419179
160,3000,273.379760147564,36.10719240334953,7.429000000000816,45.51183211649301
160,3100,275.8269192157019,37.97534748044148,7.580000000000866,46.84899024823102
160,3200,278.0427189371721,39.824214916640265,7.723000000000914,48.103028962072905
160,3300,280.0389683398192,41.64416562610688,7.858000000000959,49.27440341058422
160,3400,281.82685085089827,43.426767895621616,7.985000000001001,50.36452289089295
160,3500,283.45176095333187,45.16449921775415,8.106000000000947,51.39334982383367
160,3600,284.8876070592087,46.85056215209506,8.219000000000884,52.34447521938394
160,3700,286.1607326678709,48.47875916973159,8.325000000000825,53.22913195067448
160,3800,287.2957859727783,50.04340631212326,8.42500000000077,54.057810097625755
160,3900,288.26724283130824,51.53928442124314,8.517000000000719,54.815956707900206
160,4000,289.11513789354717,52.961603341141995,8.603000000000671,55.52224236426981
160,4100,289.84562156511646,54.30598376377628,8.683000000000627,56.178333349992094
160,4200,290.4489875443486,55.56845075651163,8.756000000000586,56.77824706413395
